run number;step;mean norm-perception;SD;median norm-perception;iqr;q1;q3;agent 1;agent 2;agent 3;agent 4;agent 5;agent 6;agent 7;agent 8;agent 9;agent 10;agent 11;agent 12;agent 13;agent 14;agent 15;agent 16;agent 17;agent 18;agent 19;agent 20;agent 21;agent 22;agent 23;agent 24;agent 25;agent 26;agent 27;agent 28;agent 29;agent 30;agent 31;agent 32;agent 33;agent 34;agent 35;agent 36;agent 37;agent 38;agent 39;agent 40;agent 41;agent 42;agent 43;agent 44;agent 45;agent 46;agent 47;agent 48;agent 49;agent 50;agent 51;agent 52;agent 53;agent 54;agent 55;agent 56;agent 57;agent 58;agent 59;agent 60;agent 61;agent 62;agent 63;agent 64;agent 65;agent 66;agent 67;agent 68;agent 69;agent 70;agent 71;agent 72;agent 73;agent 74;agent 75;agent 76;agent 77;agent 78;agent 79;agent 80;agent 81;agent 82;agent 83;agent 84;agent 85;agent 86;agent 87;agent 88;agent 89;agent 90;agent 91;agent 92;agent 93;agent 94;agent 95;agent 96;agent 97;agent 98;agent 99;agent 100
1;0;0.36;0.33;0.20;0.45;0.12;0.56;0.3;0.95;0;0.18;0;0.02;0.11;0.16;0.04;0.28;0.47;0.19;0.2;0.13;0.7;0.99;0.03;0.97;0.93;0.11;0.08;0.21;0.36;1;0.18;0.22;0.12;0.99;0.99;0.14;0.17;0.82;0.19;0.23;0.18;0.13;0.44;0.08;0.17;0.92;0.09;0.84;0.35;0.31;0.22;0.01;0.53;0.06;0.2;0;0.03;0.8;0.3;0.79;0.99;0.03;0.66;0.9;0.73;0.16;0.13;0.28;0.2;0.17;0.12;0.4;0.33;0.7;0.31;0.06;0.12;0.07;0.17;0.02;0.38;0.98;0.16;0.99;0.88;0.18;0.18;0.3;0.95;0.15;0.17;0.08;0.33;0.06;0.08;0.11;0.22;0.07;0.02;0.24;0.99;0.93;0.53;0.99;0.06;0.14
2;0;0.37;0.35;0.21;0.43;0.10;0.52;0.39;0.04;0.12;1;0.9;0.8;0.39;0.08;0.18;0.33;0.15;0.27;0.01;0.02;0.43;0.12;0.94;0.13;0.17;1;0.25;0.1;0.11;0;0.12;0.26;0.05;0.95;0.19;0.21;0.11;0.17;0.43;1;0.37;0.26;0.14;1;0.19;0.16;0.01;0;0.05;1;0.08;0.06;0.08;0.04;0.03;0.99;0.44;0.18;0.32;0.2;0.76;0.47;0;0.12;0.25;0.24;0.99;0.25;0.07;0.43;0.21;0;0.17;0.28;0.35;1;0.93;0.27;0.98;0.05;0.9;0.07;0.15;0.21;0.08;0.03;0.97;0.06;0.13;0.34;1;0.68;0.16;0.11;1;0.99;0.82;0.99;0.38;0.05;0.04;0.99;1;0.05;0.1;0.46
3;0;0.37;0.35;0.24;0.56;0.08;0.64;0.55;0.02;0.42;0.05;0.32;0.82;0.87;0.34;0.86;0.06;0.84;0.17;0.08;0.03;0.9;0.98;0.04;0.76;0.97;1;0.35;0.27;0.02;0.19;0.28;0.98;0.04;0.91;0.03;0.19;0.36;1;0.1;0.94;0.17;0.18;0.42;0.08;0.9;0.24;0.16;0.95;1;0.63;0.32;0.29;0.43;0.2;0.25;0.05;0.06;0;0.03;0.04;0.44;0.01;0.07;0.43;0.47;0.98;0.99;0.67;0.06;0.08;0.08;0.26;0.1;0.08;0.25;0.1;0.76;0.01;0.17;0.01;1;0.39;0.13;0.02;0.04;0.29;0.17;0.03;0.35;0.98;0.22;1;0.17;0.1;0.18;0.23;0.09;0.23;0.31;0.22;0.06;0.97;0.26;0.05;1;0.04
4;0;0.38;0.36;0.23;0.54;0.08;0.62;0.16;0.04;0.19;0.97;0.22;1;0.99;0.03;0.03;0.07;0.43;0.37;0.43;0.55;0.32;0.22;0.31;0.08;0.05;0.95;0.97;0.94;0.47;0.08;0.24;0.95;0.21;0.02;0.37;0.36;0.97;0.51;0.1;0.27;0.98;0.01;1;0.02;0.01;0.48;0.09;0.02;0.34;0.2;0.97;0.03;0.16;0.11;0.15;0.17;0.33;0.38;0.99;0.26;1;0.25;0.21;0.43;0.69;0.09;0.15;0.95;0.15;0.48;0.5;0.07;0.09;0.06;0.05;0.01;0.82;0.82;0.28;0.08;0.13;0.02;1;0.04;0.6;0.04;0.04;0.12;0.13;1;0.08;0.99;0.01;0.01;0.88;0.95;1;0.29;0.15;0.15;0.94;0.28;0.12;0.06;0.02;0.92
5;0;0.34;0.35;0.17;0.41;0.09;0.49;0.41;0.05;0.92;0.42;0.1;0.14;0.03;1;0.53;1;0.24;0.02;0.01;0.2;0.25;0.8;0.14;0.9;0.99;0.98;0.11;0.33;0.97;0.09;1;0.74;0.89;0.01;0.12;0.17;0.15;0.74;0.13;0.1;0.06;0.97;1;0.05;0.3;0.88;0.08;0.19;0.06;0.23;0.02;0.12;0.02;0.38;0.85;0.19;0.02;0.26;0.42;0.98;0.22;0.08;0.3;0.09;0.23;0.17;0.12;0.12;0.05;0.1;0.11;0;0.93;0.03;0.03;0.1;0.68;0.99;0.12;0.06;0.01;0.98;0.16;0.08;0.89;0.11;0.48;0;0.42;0.06;0.94;0.14;0.41;0.12;0.05;0.12;0.17;0.99;0.03;0.45;0.29;0.15;0.27;0.19;0.04;0.23
6;0;0.35;0.34;0.23;0.50;0.06;0.56;0.22;0.81;0.22;0.04;0.07;0.3;0.09;1;0.01;0.83;0.41;0.01;0.67;0.15;0.06;0.21;0;1;0.36;0.02;0.06;0.2;0.24;0.22;0.38;0.46;0.97;0.09;0.95;0.35;0.03;0.14;0.29;0.09;0.95;0.08;0.06;0.9;0.04;0.23;0.03;0.32;0.6;0.96;0.96;0.06;0;0.33;0.87;0.02;0.27;0.2;0.17;0.02;0.01;0.94;0.92;0.55;0.04;0.33;0.16;0.06;0.16;0.46;0.04;0.77;0.97;0.06;0.01;0.02;0.23;0.01;0.1;0.29;0.95;0.28;0.32;0.06;0.24;0.03;0.14;0.84;0.12;0.48;0.94;0.97;0.93;0.14;0.19;0.4;0.27;0.07;0.4;0.94;0.98;0.06;0.93;0.01;0.02;0.26
7;0;0.35;0.35;0.20;0.59;0.08;0.67;0.83;0.08;0.15;0.21;0.98;0.09;0.23;1;0.24;0.12;0.53;0.36;0.28;0.02;0.08;0.07;0.01;0.24;0.03;0.12;0.77;0.05;0.17;0.07;0.01;0.02;0.98;0.12;0.06;0.99;0.02;0.09;0.75;0.95;0.26;0.92;0.74;0.3;0.02;0.93;0.18;0.27;0.29;0.15;0.13;0.28;0.2;0.12;0.02;0.14;0.06;0.15;1;0.99;0.02;0.03;1;0.98;0.25;0.12;0.27;0.07;0.07;0.05;0.22;0.05;0.03;0.91;0.96;0.22;0.16;0.06;0.64;0.13;0.3;1;0.14;0.39;0.26;0.99;0.74;0.03;0.63;0.21;0.17;0.07;0.25;0.92;0.96;0.15;0.09;0.36;0.18;0.93;0.91;0.03;0.04;0.26;0.19;0.98
8;0;0.37;0.35;0.23;0.57;0.08;0.65;0.36;0.62;0.02;1;0.84;1;1;0;0.06;0.29;0.38;0.03;0.14;0.38;0.02;0.05;0.03;1;0.5;0.08;0.41;0.52;0.11;1;0.14;0.88;0.48;0.91;0.84;0.3;0.12;0.23;0.03;0.15;0.38;0.89;0.88;0.8;0.13;0.06;0.08;0.17;0.21;0.9;0.99;0.09;0;0.1;0.98;0.14;0.99;1;0.98;0.05;0.09;0.45;0.14;0.49;0.6;1;0.81;0.14;0.21;0.05;0.39;1;0.05;0.04;0.15;0.31;0.28;0.32;0.2;0.02;0;0.05;0.1;0.03;0.03;0.19;0.22;0.95;0.26;0.24;0.12;0.52;1;0.19;0.09;0.01;0.05;0.91;0.11;0.72;0.02;0.29;0.28;0.48;0.01;0.03
9;0;0.36;0.34;0.22;0.56;0.09;0.65;0.07;0.24;0.11;1;0.09;0.55;0;0.11;1;0.06;0.76;0.89;0.12;0.23;0;0.16;0.22;0.97;0.21;0.1;0.95;0.24;0.09;0.04;0.04;0.92;0.96;0.09;0.11;0.07;0.06;0.99;0.15;0.06;0.53;0.31;0.08;0.16;0.74;0.2;0.99;0.06;0.02;0.26;0.77;0.9;0.34;0.25;0.94;0.15;0.06;0.02;0.06;0.86;0.22;0.04;0.06;0.13;0.2;0.1;0.51;0.97;0.01;0.82;0.93;0.09;0.62;1;0.13;0.49;0.23;0.05;0.22;0.25;0.14;0.9;0.23;0.38;0.99;0.06;0.34;0.11;0.97;0.24;0.06;0.23;0.89;0.42;0.16;0.29;0.93;0.02;0.27;0.03;0.89;0.22;0.22;0.3;0.29;0.07
10;0;0.35;0.36;0.17;0.51;0.07;0.58;0.31;0.31;0.21;0.18;0.98;0.97;0.9;0.08;0.04;0.98;0.54;0.13;0.22;0.08;0.44;0.04;0.1;0.24;1;0.05;0.07;0.96;0.98;0.35;0.99;0.17;0.21;0.91;0.01;0.97;0.93;0.69;0.03;0.06;1;0.18;0;0.04;0.3;0.09;0.12;0.12;0.98;0.01;0.07;0.99;1;0.07;0.92;0.1;0.02;0.94;0.07;0.16;0.15;0.23;0.07;0.14;0.09;0.28;0.03;0.05;0.13;0.01;0.9;0.07;0.93;0.06;0.12;0.05;0.11;0.03;0.17;0.07;0.03;0.02;0.03;0.47;0.31;0.14;0.78;0.45;0.45;0.14;0.14;0.28;0.16;0.24;0.26;0.06;0.08;0.07;0.43;0.37;0.04;0.86;0.82;0.96;0.95;0.16
